Rank,City,Country,2021,2020,2019,2018
244,Panzhihua, China,30.5,28.8,29.1,33.1
245,Chongzuo, China,30.4,25.6,29.1,30.8
246,Wuhai, China,30.4,33.7,31.3,40.5
247,Yichun, China,30.4,30.8,35.7,38.7
248,Xuancheng, China,30.2,32.7,41.7,43.2
249,Changzhou Qu, China,30.1,30.5,33.4,40.9
250,Suining, China,30,28.4,31,35.3
251,Guigang, China,29.9,28.5,33.9,38.7
252,Yinchuan, China,29.9,34.5,31,39.3
253,Wuxi, China,29.8,34,39.9,42.8
254,Sarajevo, Bosnia Herzegovina,29.7,42.5,34.1,38.4
255,Qingdao, China,29.7,31.8,39.4,34.3
256,Kuwait City, Kuwait,29.7,34,38.3,56
257,Amaravati, India,29.5,28.9,33,35.6
258,Baise, China,29.4,27.4,29.3,35.7
259,Chengde, China,29.4,28.6,30,39.6
260,Jiaonan, China,29.4,34.1,39.5,33.6
261,Jiayuguan, China,29.3,29.5,26.5,28.1
262,Yulin, China,29.3,27.6,32.6,35.6
263,Jilin, China,29.2,35.9,34.4,32.4
264,Lincang, China,29.1,25.8,31.4,27.4
265,Nanjing, China,29,31.1,40.5,43
266,Bengaluru, India,29,27.5,32.6,34.5
267,Yancheng, China,28.9,32.5,40.5,43.2
268,Yixing, China,28.8,31.3,38.4,42.7
269,Benxi, China,28.8,33.8,35.1,31.6
270,Tirupati, India,28.8,24.4,26.4,31.3
271,Yanan, China,28.7,29.5,31.3,35
272,Guilin, China,28.6,28.3,32.9,36.4
273,Suzhou, China,28.6,32.3,37.7,40.3
274,Mudanjiang, China,28.4,29.6,31.7,28.6
275,Kunshan, China,28.4,31.4,34.5,36.1
276,Shiyan, China,28.3,30.5,36.5,40.2
277,Ya'an, China,28.3,26.6,32.3,40.7
278,Alxa League, China,28.2,24.9,25.9,35.4
279,Changshu, China,28.2,32.4,37.6,42.6
280,Ziyang, China,28.2,29.5,33.5,38.3
281,Kumul, China,28.2,29.3,29.8,28.5
282,Amasya, Turkey,28.2,31.7,35.9,34
283,Nanning, China,28.1,26,30.2,32.4
284,Hanzhong, China,28.1,28.7,39.2,45.1
285,Cheonan, South Korea,28.1,23.9,29.4,25.4
286,Haidongdiqu, China,28,30.8,38,41.4
287,Yantai, China,28,31.8,37.5,29.3
288,Dandong, China,27.9,28.7,32,29.1
289,Dalian, China,27.7,30.2,34.3,29.3
290,Shanghai, China,27.7,31.5,35.4,36
291,Shaoxing, China,27.7,28.5,38.1,40.5
292,Jieyang, China,27.6,27.8,30.6,34.1
293,Siping, China,27.6,32.5,35.7,38.8
294,Kampala, Uganda,27.6,26.1,29.1,40.8
295,Huaihua, China,27.4,27.8,35.4,33.1
296,Hangzhou, China,27.4,29,37.4,38.1
297,Asan, South Korea,27.4,25.1,31,26
298,Three Rivers, USA,27.4,23.1,9,20.8
299,Chenzhou, China,27.3,27.9,30.2,28.9
300,Bazhong, China,27.3,26.8,30.3,30.8
301,Jiamusi, China,27.2,27.1,27.1,28.4
302,Bayan Nur, China,27.1,34.2,32.2,33.5
303,Ordos, China,27.1,24.5,23.4,25.7
304,Honghe, China,27,25.7,26.2,25
305,Qingyang, China,26.8,29.1,31,33.1
306,Xianning, China,26.8,29.1,35.1,36.7
307,Corum, Turkey,26.7,36,23.8,24.8
308,Jiaxing, China,26.5,27.7,35,38.1
309,Hezhou, China,26.4,27.6,30.7,36.9
310,Shangrao, China,26.4,27.6,31.4,33.9
311,Linan, China,26.4,29.2,36.1,35.9
312,Szeged, Hungary,26.4,16.2,15.7,17.3
313,Jixi, China,26.3,23.4,27.1,29.2
314,Taicang, China,26.2,27.2,30.9,36.9
315,Haimen, China,26.1,28.8,33.2,32.7
316,Mobarakeh, Iran,26.1,22.5,21.3,24.1
317,Mae Sot, Thailand,26,26.9,27.6,32.2
318,Bursa, Turkey,26,25,26.3,28.4
319,Yiwu, China,25.9,27,34,33.7
320,Santiago, Chile,25.8,23.6,27.7,29.4
321,Dingxi, China,25.8,25.7,27.4,40.3
322,Enshi, China,25.8,27.5,31.3,36.1
323,Baishan, China,25.8,27.7,29.8,31.5
324,Dehong, China,25.7,19.1,23.2,33.7
325,Jinhua, China,25.6,27.9,32.4,33.3
326,Wuzhou, China,25.5,25.2,28.7,34.5
327,Jian, China,25.5,28.3,34.4,39.1
328,Meybod, Iran,25.5,19.2,22,21.1
329,Rancagua, Chile,25.4,23.8,26.9,22.9
330,Nujiang, China,25.4,22.5,24.9,24.4
331,Seosan, South Korea,25.4,18.9,21.5,18.7
332,Shuangyashan, China,25.3,25.8,28.5,26.6
333,Weihai, China,25.3,26,31.4,26.6
334,Huzhou, China,25.3,26.2,32.2,35.1
335,Guyuan, China,25.2,24.9,25.7,33.4
336,Chennai, India,25.2,26.5,34.6,43.2
337,Hechi, China,25,24.2,26.3,28.9
338,Huangnan, China,25,23.6,22.6,29.2
339,Si Maha Phot, Thailand,25,23.5,24.8,30.9
340,Daqing, China,24.9,26.6,27.2,26.5
341,Shangluo, China,24.9,28.2,32.3,36.3
342,Chiang Mai, Thailand,24.9,30.5,32.3,24.5
343,Shaoguan, China,24.8,24,28.3,34.5
344,Qitaihe, China,24.8,25.6,30.5,29.4
345,Yingtan, China,24.8,31.5,35.9,34
346,Krakow, Poland,24.7,21.7,24.6,28.9
347,Beihai, China,24.5,23.1,26.9,27.6
348,Guangzhou, China,24.4,22.6,28.9,33.2
349,Zhangjiajie, China,24.4,22.6,28.7,29.6
350,Baoshan, China,24.3,19,20.5,21.7
351,Bijie, China,24.1,24,26.4,32
352,Liupanshui, China,24.1,21.1,23.4,32.3
353,Baicheng, China,24,24.2,26.5,28.3
354,Tonghua, China,24,27.3,29.4,28.4
355,Wenshan, China,24,23.8,26.2,25.6
356,Fangchenggang, China,23.9,22.1,26.9,28.6
357,Addis Ababa, Ethiopia,23.9,14.7,20.1,27.1
358,Kalisz, Poland,23.9,18.8,19.4,23.3
359,Mielec, Poland,23.9,18.8,21.1,25.1
360,Guiyang, China,23.8,22.8,26.5,30.3
361,Fuzhou, China,23.8,26.9,32.8,35.8
362,Zhushan Qu, China,23.8,27.1,28.2,30.1
363,Chaozhou, China,23.7,24.3,28.5,28.3
364,Zhuji, China,23.7,28.9,37.2,35.4
365,Holon, Israel,23.7,15.9,22.1,21.4
366,Jelsava, Slovakia,23.7,19,21.4,24.3
367,Foshan, China,23.6,22.2,29.4,33.1
368,Anshun, China,23.6,21.6,22.5,26
369,Ankang, China,23.6,25.6,34,36.3
370,Zhangzhou, China,23.5,21.6,30.3,30
371,Tongliao, China,23.5,28.8,32.3,31.9
372,Rushan, China,23.5,23.3,25.5,22.8
373,Tongren, China,23.4,25.5,31,22.3
374,Guangyuan, China,23.4,24.8,27.3,26.1
375,Miskolc, Hungary,23.4,21,21.9,24.4
376,Belgrade, Serbia,23.4,24.3,23.3,23.9
377,Kunming, China,23.3,22.4,25.1,27.2
378,Samut Sakhon, Thailand,23.3,23,24.1,39.8
379,Zhangjiakou, China,23.2,24.3,26.1,36.3
380,Xishuangbanna, China,23.2,30,31.6,24.8
381,Modena, Italy,23.2,24.3,23.4,25.2
382,Lublin, Poland,23.1,18.5,20.5,21
383,Qingyuan, China,23,26.4,29.9,32.6
384,Slavonski Brod, Croatia,23,21.4,22.1,26
385,Osan, South Korea,23,22.8,28.2,27.8
386,Zhanjiang, China,22.9,21.2,25.4,25.4
387,Karamay, China,22.9,25.2,23.4,25.2
388,Milano, Italy,22.9,28.4,23.3,22.1
389,Bortala, China,22.8,22.3,22.7,27.9
390,Dolni Lutyne, Czech Republic,22.8,20.9,27.7,35.8
391,Pyeongtaek, South Korea,22.8,21.7,29.4,29.5
392,Chillan, Chile,22.7,16,20.4,21.5
393,Jingdezhen, China,22.7,24.3,26.7,28.8
394,Dongguan, China,22.6,23.7,31.5,34.9
395,Xiangxi, China,22.6,23.4,28.8,32.6
396,Qiandongnan, China,22.5,23.8,25.8,27.6
397,Zunyi, China,22.5,17.8,20.4,26.8
398,Songyuan, China,22.5,26.1,29.7,27.9
399,Wenzhou, China,22.5,24.8,27.8,29.5
400,Katowice, Poland,22.5,21.4,26,30.4
401,Yunfu, China,22.4,20.9,28,31.2
402,Puer, China,22.4,22.1,23.7,18.3
403,Gimpo, South Korea,22.4,20.9,26.6,24
404,Zhaoqing, China,22.3,23.2,31.4,36.5
405,Zhaotong, China,22.3,20.2,19,20.8
406,Jiangmen, China,22.2,21.3,27,30.2
407,Ganzhou, China,22.2,25.2,28.4,37.7
408,Qujing, China,22.2,20.2,21,28
409,Quzhou, China,22.2,25,31.8,32.4
410,Siheung, South Korea,22.2,20,30.6,28.7
411,Portola, USA,22.1,21.3,16.9,20.4
412,Wendeng, China,22,21.5,23.8,23.5
413,Bucheon, South Korea,21.9,20.9,30.8,27.3
414,Hwaseong, South Korea,21.8,22.5,29.1,26.7
415,Mexico City, Mexico,21.7,18.8,20.5,19.7
416,Chon Buri, Thailand,21.7,19.9,19.5,27.3
417,Maoming, China,21.6,20.7,25,25.7
418,Yangjiang, China,21.6,21.3,28.6,30.6
419,Kaohsiung, Taiwan,21.6,19.8,22.7,24.4
420,Ratchaburi, Thailand,21.6,22.8,29.5,32.2
421,Klamath Falls, USA,21.6,16.5,9.1,18.9
422,San Fernando, Chile,21.5,17.7,21,15.3
423,Hinggan, China,21.4,23.3,24.1,19.6
424,Thiruvananthapuram, India,21.4,25.6,27.9,28
425,Tarnow, Poland,21.4,20.3,22.5,23.3
426,Hegang, China,21.3,22,21.5,23.2
427,Huangshan, China,21.1,21,24,23.4
428,Kerman, Iran,21.1,19.8,19.9,24.4
429,Pomigliano d'Arco, Italy,21.1,22.2,18.4,15.5
430,Samut Prakan, Thailand,21.1,20.9,22.9,32.2
431,Quincy, USA,21.1,25.4,8.2,11.4
432,Ningbo, China,21,22.7,28.4,31.4
433,Yuxi, China,20.9,19.5,23.1,21.8
434,Taizhou, China,20.9,24.4,26.5,28.1
435,Visalia, USA,20.9,23.5,12.8,17.6
436,Tianshui, China,20.8,22.7,27,37.3
437,Heyuan, China,20.8,21.7,24.5,29.2
438,Qianxinan, China,20.8,18.7,20.2,14.9
439,Liangshan, China,20.8,21.4,19.7,20.7
440,Chuxiong, China,20.8,17.8,20.9,24.3
441,Tel Aviv-Yafo, Israel,20.7,17.2,21.8,19.5
442,Zgierz, Poland,20.7,24.5,27,21.9
443,Goyang, South Korea,20.7,20.2,24.9,25.2
444,Maule, Chile,20.6,16,20.3,16.1
445,Quanzhou, China,20.6,20,24.5,25.1
446,Sanming, China,20.6,21.6,23.6,24.7
447,Ulanqab, China,20.6,20.3,24.6,25.5
448,Tabriz, Iran,20.6,17.6,13.2,12.2
449,Martin, Slovakia,20.6,15.7,16.1,18
450,Yongin, South Korea,20.5,21.4,25.2,24.8
451,Putian, China,20.4,20.7,23.9,25.6
452,Hainan, China,20.3,20.3,20.4,24.3
453,Nakhon Ratchasima, Thailand,20.3,21.6,42.2,37.6
454,Ramat Gan, Israel,20.2,18.8,22.6,19.3
455,Lodz, Poland,20.2,18.1,19.9,23.8
456,Zyrardow, Poland,20.2,16.7,17.8,26.6
457,Chiayi city, Taiwan,20.2,17.9,21.5,23.7
458,Talcahuano, Chile,20.1,19,21.4,15.7
459,Zhongshan, China,20.1,19.4,26.4,28.4
460,Monterrey, Mexico,20.1,14.5,19.3,17.2
461,Cluj-Napoca, Romania,20.1,13.1,15.7,21.4
462,Cheongju, South Korea,20.1,22.1,28.3,28.8
463,Tainan, Taiwan,20.1,18.4,22.6,23.9
464,Huizhou, China,20,20.2,25.1,27
465,Qiqihar, China,20,26.9,27.2,26.2
466,Haibei, China,20,18.9,19.4,25.1
467,Bangkok, Thailand,20,20.6,22.8,25.2
468,Xiamen, China,19.9,17.9,23.8,23.5
469,Wroclaw, Poland,19.9,17.1,18.7,22.9
470,Phnom Penh, Cambodia,19.8,21.1,21.1,20.1
471,Yanbian, China,19.8,19.7,24.5,25.7
472,Ubud, Indonesia,19.8,22.2,27.9,23.7
473,Ansan, South Korea,19.8,19.9,24,24.2
474,Fuzhou, China,19.7,19.7,23.2,23.6
475,Anyang, South Korea,19.7,21.9,25.4,27.1
476,Seoul, South Korea,19.7,20.9,24.8,23.3
477,Ningde, China,19.6,21.5,23.6,24.4
478,Pingliang, China,19.6,21.8,24.8,36.9
479,Havirov, Czech Republic,19.6,18,20.3,28.8
480,Ostrava, Czech Republic,19.6,16.8,20.9,30.1
481,Salamanca, Mexico,19.6,18,20.9,20.9
482,Otwock, Poland,19.6,22.4,18.2,30.2
